"clade","dominant_mode","ppmr_observed_mode","se_obs","ppmr_gut_equiv","se_gut","gut_identifiable"
"Aves","Scat",-2.59013611012247,0.217880849177821,-2.4307871271847,0.237185272957883,"yes"
"Crocodylia","Stomach",-7.10951733528807,0.973560691575346,-7.10951733528807,0.973560691575346,"NO - relies on global offset transfer"
"Mammalia","Scat",-0.974857888702876,0.253057551062953,-0.815508905765108,0.265092964254275,"yes"
"Squamata","Stomach",-3.53023256649433,0.445196943718795,-3.53023256649433,0.445196943718795,"yes"
