"role","key","clade","type","n_rec","suggested_source"
"prey","Mice Mammalia_Rodentia","MAMMALIA","vertebrate (look up)",1,"PanTHERIA / EltonTraits-Mammal"
"prey","Murinae Mammalia_Rodentia","MAMMALIA","vertebrate (look up)",1,"PanTHERIA / EltonTraits-Mammal"
"prey","Myodes Mammalia_Rodentia","MAMMALIA","vertebrate (look up)",1,"PanTHERIA / EltonTraits-Mammal"
"prey","Pitymys Mammalia_Rodentia","MAMMALIA","vertebrate (look up)",1,"PanTHERIA / EltonTraits-Mammal"
"prey","Rats Mammalia_Rodentia","MAMMALIA","vertebrate (look up)",1,"PanTHERIA / EltonTraits-Mammal"
"prey","Rodents Mammalia_Rodentia","MAMMALIA","vertebrate (look up)",1,"PanTHERIA / EltonTraits-Mammal"
"prey","indet Squamata","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Stenodactylus_doriae Squamata_Gekkota","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Cnemidophorus Squamata_Gymnopthalmidae","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Crotaphytidae Squamata_Iguania","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Sceloporine Squamata_Iguania","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Eremias_strauchi Squamata_Lacertidae","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Indet Squamata_Scincidae","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Baeodon_fuliginosus Squamata_Serpentes","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Boaedon_capensis Squamata_Serpentes","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Colubridae/Viperidae Squamata_Serpentes","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Hemachatus_haemachatus Squamata_Serpentes","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Homoroselaps_lacteus Squamata_Serpentes","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Psammophis_notostictus Squamata_Serpentes","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Psammophylax_rhombeatus Squamata_Serpentes","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Psammophylax_tritaeniatus Squamata_Serpentes","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Tupinambis Squamata_Teidae","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Teiidae Squamata_Teiidae","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Varanus Squamata_Varanidae","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Varanus_ornatus_juvenile Squamata_Varanidae","SQUAMATA","vertebrate (look up)",1,"Feldman et al. / Meiri squamate mass"
"prey","Kachuga_tecta Testudines","TESTUDINES","vertebrate (look up)",1,"literature / TraitBank"
"prey","Kinosternum_subrubrum Testudines","TESTUDINES","vertebrate (look up)",1,"literature / TraitBank"
"predator","Pituophis ruthveni","SQUAMATA","vertebrate (look up)",NA,"Feldman et al. / Meiri squamate mass"
"predator","Pituophis lodingi","SQUAMATA","vertebrate (look up)",NA,"Feldman et al. / Meiri squamate mass"
"predator","Naja nivea","SQUAMATA","vertebrate (look up)",NA,"Feldman et al. / Meiri squamate mass"
