source_file,bird_species,bird_common,bird_family,obstype,study_type_raw,prey_class,prey_order,prey_family,prey_genus,prey_scientific,prey_stage,fraction_diet,diet_type,pred_mass_g,prey_mass_g,location_region,year,season,item_n,bird_n,ppmr_ln
"aviandietdb (Hurlbert et al. 2021, R pkg)",Strix nebulosa,Great Gray Owl,Strigidae,Stomach,stomach contents,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex minutus,"",0.031,Occurrence,1061.9,4.14,Finland;Sweden;Norway,1955,"",96,27,-5.54711924757258
"aviandietdb (Hurlbert et al. 2021, R pkg)",Strix nebulosa,Great Gray Owl,Strigidae,Stomach,stomach contents,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex minutissimus,"",0.01,Occurrence,1061.9,2.41,Finland;Sweden;Norway,1955,"",96,27,-6.08818828790724
"aviandietdb (Hurlbert et al. 2021, R pkg)",Strix nebulosa,Great Gray Owl,Strigidae,Stomach,stomach contents,Mammalia,Rodentia,Cricetidae,Microtus,Microtus agrestis,"",0.345,Occurrence,1061.9,35.9,Finland;Sweden;Norway,1955,"",96,27,-3.38707773991557
"aviandietdb (Hurlbert et al. 2021, R pkg)",Strix nebulosa,Great Gray Owl,Strigidae,Stomach,stomach contents,Mammalia,Rodentia,Cricetidae,Microtus,Microtus oeconomus,"",0.042,Occurrence,1061.9,33.1,Finland;Sweden;Norway,1955,"",96,27,-3.46828175302678
"aviandietdb (Hurlbert et al. 2021, R pkg)",Strix nebulosa,Great Gray Owl,Strigidae,Stomach,stomach contents,Mammalia,Rodentia,Cricetidae,Microtus,"","",0.031,Occurrence,1061.9,41.4838709677419,Finland;Sweden;Norway,1955,"",96,27,-3.24251033509738
"aviandietdb (Hurlbert et al. 2021, R pkg)",Strix nebulosa,Great Gray Owl,Strigidae,Stomach,stomach contents,Mammalia,Rodentia,Cricetidae,Myopus,Myopus schisticolor,"",0.01,Occurrence,1061.9,30,Finland;Sweden;Norway,1955,"",96,27,-3.56661765374765
"aviandietdb (Hurlbert et al. 2021, R pkg)",Strix nebulosa,Great Gray Owl,Strigidae,Stomach,stomach contents,Mammalia,Rodentia,Cricetidae,Arvicola,Arvicola amphibius,"",0.01,Occurrence,1061.9,170,Finland;Sweden;Norway,1955,"",96,27,-1.83201659835954
"aviandietdb (Hurlbert et al. 2021, R pkg)",Strix nebulosa,Great Gray Owl,Strigidae,Stomach,stomach contents,Aves,Galliformes,Phasianidae,Lagopus,Lagopus lagopus,"",0.01,Occurrence,1061.9,566.9,Finland;Sweden;Norway,1955,"",96,27,-0.627632114079542
"aviandietdb (Hurlbert et al. 2021, R pkg)",Megascops nudipes,Puerto Rican Screech-Owl,Strigidae,Stomach,stomach contents,Aves,Passeriformes,Parulidae,Setophaga,Setophaga ruticilla,"",0.2,Occurrence,137.3,8.2,Puerto Rico,1911,multiple,,5,-2.81803415850372
"aviandietdb (Hurlbert et al. 2021, R pkg)",Megascops nudipes,Puerto Rican Screech-Owl,Strigidae,Stomach,stomach contents,Aves,Passeriformes,Thraupidae,Tiaris,Tiaris bicolor,"",0.2,Occurrence,137.3,8.5,Puerto Rico,1911,multiple,,5,-2.78210214927765
"aviandietdb (Hurlbert et al. 2021, R pkg)",Fulmarus glacialis,Northern Fulmar,Procellariidae,Stomach,stomach contents,Mammalia,Cetacea,Pontoporiidae,Pontoporia,"","",0.14,Occurrence,611.9,40500,Northern Bering Sea,1985,"",,7,4.19248838262614
"aviandietdb (Hurlbert et al. 2021, R pkg)",Uria lomvia,Thick-billed Murre,Alcidae,Stomach,stomach contents,Mammalia,Cetacea,Pontoporiidae,Pontoporia,"","",0.14,Occurrence,964,40500,Northern Bering Sea,1985,"",,7,3.73796595848408
