species,genus,a,b,n_records,length_type,Lmin_cm,Lmax_cm,family,order,class
Labeo parvus,Labeo,0.0095,3.077,6,SL,6.1,28,Cyprinidae,Cypriniformes,Teleostei
Labeo senegalensis,Labeo,0.01,2.9989,5,TL,6.4,40,Cyprinidae,Cypriniformes,Teleostei
Auchenoglanis occidentalis,Auchenoglanis,0.0112,2.894,3,TL,6.3,50,Auchenoglanididae,Siluriformes,Teleostei
Cottus gobio,Cottus,0.009835,3.0926,4,TL,2.93,14.89,Cottidae,Perciformes/Cottoidei,Teleostei
Chrysichthys nigrodigitatus,Chrysichthys,0.011,2.919,15,TL,4.3,89.2,Claroteidae,Siluriformes,Teleostei
Chrysichthys maurus,Chrysichthys,0.0165,2.7445,2,SL,5.5,45,Claroteidae,Siluriformes,Teleostei
Chrysichthys auratus,Chrysichthys,0.012,2.944,11,TL,6.4,35,Claroteidae,Siluriformes,Teleostei
Chrysichthys johnelsi,Chrysichthys,0.013,3,3,FL,4.26,33.4,Claroteidae,Siluriformes,Teleostei
Chrysichthys walkeri,Chrysichthys,0.0074,3.114,2,TL,7,24,Claroteidae,Siluriformes,Teleostei
Schilbe mandibularis,Schilbe,0.008,2.9625,4,SL,6.2,28.5,Schilbeidae,Siluriformes,Teleostei
Schilbe mystus,Schilbe,0.0091,3.02,15,SL,4.9,35.2,Schilbeidae,Siluriformes,Teleostei
Amphilius platychir,Amphilius,0.0066,3.26,2,SL,3.42,10.84,Amphiliidae,Siluriformes,Teleostei
Synodontis bastiani,Synodontis,0.016,2.754,3,SL,4.5,22.5,Mochokidae,Siluriformes,Teleostei
Synodontis koensis,Synodontis,0.015,2.779,1,SL,5.5,14,Mochokidae,Siluriformes,Teleostei
Synodontis obesus,Synodontis,0.046,2.37,1,TL,5,15.3,Mochokidae,Siluriformes,Teleostei
Synodontis punctifer,Synodontis,0.018,2.675,1,SL,6,28,Mochokidae,Siluriformes,Teleostei
Synodontis schall,Synodontis,0.0168,3.0385,14,SL,3,40,Mochokidae,Siluriformes,Teleostei
Synodontis waterloti,Synodontis,0.0205,2.975,2,SL,3.3,14.08,Mochokidae,Siluriformes,Teleostei
Poropanchax normani,Poropanchax,0.016,2.795,2,SL,1.43,3.54,Procatopodidae,Cyprinodontiformes,Teleostei
Aplocheilichthys spilauchen,Aplocheilichthys,0.0103,3.345,2,SL,1.68,9.11,Procatopodidae,Cyprinodontiformes,Teleostei
Echeneis naucrates,Echeneis,0.000885,3.323895,4,TL,12,88,Echeneidae,Carangiformes,Teleostei
Epiplatys bifasciatus,Epiplatys,0.01185,2.885,2,SL,1.53,5.14,Nothobranchiidae,Cyprinodontiformes,Teleostei
Epiplatys spilargyreius,Epiplatys,0.00855,3.37,2,SL,1.65,5.46,Nothobranchiidae,Cyprinodontiformes,Teleostei
Tilapia busumana,Tilapia,0.0175,2.8305,2,SL,4.9,16.5,Cichlidae,Cichliformes,Teleostei
Coptodon dageti,Coptodon,0.0185,3.225,2,SL,1.79,22.6,Cichlidae,Cichliformes,Teleostei
Coptodon guineensis,Coptodon,0.017,2.899,7,TL,3.5,26.6,Cichlidae,Cichliformes,Teleostei
Pelmatolapia mariae,Pelmatolapia,0.01815,3.071,6,TL,4,32.3,Cichlidae,Cichliformes,Teleostei
Tylochromis jentinki,Tylochromis,0.01971,3.2675,2,SL,6.5,20.5,Cichlidae,Cichliformes,Teleostei
Awaous lateristriga,Awaous,0.00758,3.234,2,TL,6.3,18,Gobiidae,Gobiiformes,Teleostei
Eleotris senegalensis,Eleotris,0.0085,3.0735,2,SL,6.4,22.2,Eleotridae,Gobiiformes,Teleostei
Eleotris vittata,Eleotris,0.013,3.25,3,TL,3,27.5,Eleotridae,Gobiiformes,Teleostei
Ctenopoma kingsleyae,Ctenopoma,0.0312,2.953,3,TL,5.2,18.3,Anabantidae,Anabantiformes,Teleostei
Diplodus cervinus,Diplodus,0.0117,3.08,4,TL,12,50,Sparidae,Eupercaria/misc,Teleostei
Kyphosus sectatrix,Kyphosus,0.0174,3.079,1,FL,19,20.6,Kyphosidae,Centrarchiformes,Teleostei
Chelon labrosus,Chelon,0.009985,3.022,20,TL,1.7,54.7,Mugilidae,Mugiliformes,Teleostei
Anarhichas lupus,Anarhichas,0.00447,3.175,6,TL,4.5,107,Anarhichadidae,Perciformes/Zoarcoidei,Teleostei
Chimaera monstrosa,Chimaera,0.007,3.0113,6,TL,5,93.3,Chimaeridae,Chimaeriformes,Holocephali
Acipenser nudiventris,Acipenser,0.0068,2.972,3,TL,102,211,Acipenseridae,Acipenseriformes,Chondrostei
Heterobranchus isopterus,Heterobranchus,0.016,2.726,2,SL,7.2,122.5,Clariidae,Siluriformes,Teleostei
Epigonus constanciae,Epigonus,0.0019,3.59,1,TL,10.5,15,Epigonidae,Acropomatiformes,Teleostei
Epigonus denticulatus,Epigonus,0.0045,3.26,1,TL,6.7,14.2,Epigonidae,Acropomatiformes,Teleostei
Epigonus telescopus,Epigonus,0.0269,2.87,5,FL,5,70,Epigonidae,Acropomatiformes,Teleostei
Eptatretus deani,Eptatretus,0.002695,2.89956,2,TL,20,52,Myxinidae,Myxiniformes,Myxini
Eptatretus stoutii,Eptatretus,0.005565,2.665695,2,TL,20,67,Myxinidae,Myxiniformes,Myxini
Myxine glutinosa,Myxine,0.0022,2.8357,1,TL,8.5,41.5,Myxinidae,Myxiniformes,Myxini
Ichthyomyzon unicuspis,Ichthyomyzon,0.001375,2.87,2,TL,,,Petromyzontidae,Petromyzontiformes,Petromyzonti
Lampetra aepyptera,Lampetra,0.0046,2.66,1,TL,7.7,17,Petromyzontidae,Petromyzontiformes,Petromyzonti
Lethenteron camtschaticum,Lethenteron,0.0016,3,11,TL,,43.6,Petromyzontidae,Petromyzontiformes,Petromyzonti
Petromyzon marinus,Petromyzon,0.00208,3,1,TL,,,Petromyzontidae,Petromyzontiformes,Petromyzonti
Notorynchus cepedianus,Notorynchus,0.00668,3,1,TL,170,170,Hexanchidae,Hexanchiformes,Elasmobranchii
Ginglymostoma cirratum,Ginglymostoma,0.006475,2.876,2,SL,23,157,Ginglymostomatidae,Orectolobiformes,Elasmobranchii
Alopias superciliosus,Alopias,0.02265,2.845,6,TL,90,450,Alopiidae,Lamniformes,Elasmobranchii
Alopias vulpinus,Alopias,0.01275,2.6895,2,FL,154,395,Alopiidae,Lamniformes,Elasmobranchii
Pseudotriakis microdon,Pseudotriakis,0.001005,3.66,2,TL,44.7,296,Pseudotriakidae,Carcharhiniformes,Elasmobranchii
Mustelus canis,Mustelus,0.00229,3.09,11,TL,40,150,Triakidae,Carcharhiniformes,Elasmobranchii
Mustelus norrisi,Mustelus,0.00118,3.182,1,,,,Triakidae,Carcharhiniformes,Elasmobranchii
Triakis semifasciata,Triakis,0.00305,3.05,1,,,,Triakidae,Carcharhiniformes,Elasmobranchii
Somniosus pacificus,Somniosus,0.016035,2.93,2,TL,81,233,Somniosidae,Squaliformes,Elasmobranchii
Pristis microdon,Pristis,0.0024,3,1,TL,,695,Pristidae,Rhinopristiformes,Elasmobranchii
Pseudobatos productus,Pseudobatos,0.00396,3,5,TL,9.2,130,Rhinobatidae,Rhinopristiformes,Elasmobranchii
Narcine brasiliensis,Narcine,0.014,2.97,3,TL,8.8,47,Narcinidae,Torpediniformes,Elasmobranchii
Tetronarce nobiliana,Tetronarce,0.0256,2.943,10,TL,8.3,102,Torpedinidae,Torpediniformes,Elasmobranchii
Bathyraja aleutica,Bathyraja,0.00261,3.1745,4,TL,17,143,Arhynchobatidae,Rajiformes,Elasmobranchii
Beringraja binoculata,Beringraja,0.00675,3,1,TL,183,183,Rajidae,Rajiformes,Elasmobranchii
Leucoraja erinaceus,Leucoraja,0.003545,3.145,12,TL,6,63,Rajidae,Rajiformes,Elasmobranchii
Bathyraja interrupta,Bathyraja,0.00502,3.0308,3,TL,18,79,Arhynchobatidae,Rajiformes,Elasmobranchii
Dipturus laevis,Dipturus,0.00164,3.29,1,TL,23,121,Rajidae,Rajiformes,Elasmobranchii
Leucoraja ocellata,Leucoraja,0.00209,3.305,10,TL,4,111,Rajidae,Rajiformes,Elasmobranchii
Arctoraja parmifera,Arctoraja,0.00194,3.28,5,TL,22,120,Arhynchobatidae,Rajiformes,Elasmobranchii
Amblyraja radiata,Amblyraja,0.0069,3.0343,7,TL,7.5,105,Rajidae,Rajiformes,Elasmobranchii
Malacoraja senta,Malacoraja,0.002905,3.123,2,TL,15,65,Rajidae,Rajiformes,Elasmobranchii
Bathyraja trachura,Bathyraja,0.0084,2.8605,1,TL,20,69,Arhynchobatidae,Rajiformes,Elasmobranchii
Bathytoshia centroura,Bathytoshia,0.018,3,5,TL,36,220,Dasyatidae,Myliobatiformes,Elasmobranchii
Hypanus dipterurus,Hypanus,0.017,3.24,6,WD,28.1,167,Dasyatidae,Myliobatiformes,Elasmobranchii
Hypanus sabinus,Hypanus,0.03,3.125,2,WD,11,49,Dasyatidae,Myliobatiformes,Elasmobranchii
Hypanus say,Hypanus,0.022725,3.1415,2,WD,10,104,Dasyatidae,Myliobatiformes,Elasmobranchii
Pteroplatytrygon violacea,Pteroplatytrygon,0.0273,2.9518,3,WD,36.5,68.5,Dasyatidae,Myliobatiformes,Elasmobranchii
Gymnura altavela,Gymnura,0.00747,3.09,8,TL,30,210,Gymnuridae,Myliobatiformes,Elasmobranchii
Gymnura marmorata,Gymnura,0.007,2.96,1,WD,38,93,Gymnuridae,Myliobatiformes,Elasmobranchii
Gymnura micrura,Gymnura,0.004,3.15,5,TL,24,84,Gymnuridae,Myliobatiformes,Elasmobranchii
Urobatis halleri,Urobatis,0.01,3,3,TL,5.7,57,Urotrygonidae,Myliobatiformes,Elasmobranchii
Urobatis jamaicensis,Urobatis,0.01,3,3,TL,12.5,41.6,Urotrygonidae,Myliobatiformes,Elasmobranchii
Myliobatis californica,Myliobatis,0.013,3,3,WD,30.2,60.5,Myliobatidae,Myliobatiformes,Elasmobranchii
Rhinoptera bonasus,Rhinoptera,0.01109,3.06,6,TL,27,107,Rhinopteridae,Myliobatiformes,Elasmobranchii
Mobula hypostoma,Mobula,0.006,3.07,1,WD,96.8,230.8,Mobulidae,Myliobatiformes,Elasmobranchii
Mobula thurstoni,Mobula,0.00541,3.139,1,WD,90.2,197,Mobulidae,Myliobatiformes,Elasmobranchii
Hydrolagus colliei,Hydrolagus,0.00025,2.755,1,OT,,,Chimaeridae,Chimaeriformes,Holocephali
Acipenser brevirostrum,Acipenser,0.00821,3,1,TL,85,85,Acipenseridae,Acipenseriformes,Chondrostei
Acipenser fulvescens,Acipenser,0.00186,3.273,13,TL,,,Acipenseridae,Acipenseriformes,Chondrostei
Acipenser medirostris,Acipenser,0.00593,3,3,FL,151,242,Acipenseridae,Acipenseriformes,Chondrostei
Acipenser oxyrinchus,Acipenser,0.001175,3.315,2,TL,20,159,Acipenseridae,Acipenseriformes,Chondrostei
Acipenser transmontanus,Acipenser,0.00285,3.19,3,FL,54,263,Acipenseridae,Acipenseriformes,Chondrostei
Scaphirhynchus albus,Scaphirhynchus,0.0023,3.758,1,,,,Acipenseridae,Acipenseriformes,Chondrostei
Scaphirhynchus platorynchus,Scaphirhynchus,0.00488,3,1,TL,100,100,Acipenseridae,Acipenseriformes,Chondrostei
Lepisosteus platostomus,Lepisosteus,0.00079,3.43,1,TL,27.9,66,Lepisosteidae,Lepisosteiformes,Holostei
Lepisosteus platyrhincus,Lepisosteus,0.00263,3.1565,2,TL,24.4,134,Lepisosteidae,Lepisosteiformes,Holostei
Amia calva,Amia,0.014525,2.996,2,TL,22.1,74.9,Amiidae,Amiiformes,Holostei
Neoconger mucronatus,Neoconger,0.0011,3,1,TL,16.5,,Moringuidae,Anguilliformes,Teleostei
Gymnothorax nigromarginatus,Gymnothorax,0.00332,2.839,1,TL,48.6,48.6,Muraenidae,Anguilliformes,Teleostei
Gymnothorax saxicola,Gymnothorax,0.0015,3,1,TL,29.3,,Muraenidae,Anguilliformes,Teleostei
Rhynchoconger flavus,Rhynchoconger,0.0012,3.055,1,SL,14.2,42.7,Congridae,Anguilliformes,Teleostei
Ahlia egmontis,Ahlia,0.00025,3.15,1,TL,6.6,23.4,Ophichthidae,Anguilliformes,Teleostei
Echiophis punctifer,Echiophis,0.00152,3,1,TL,,,Ophichthidae,Anguilliformes,Teleostei
Myrophis vafer,Myrophis,5e-04,3,1,TL,21.3,,Ophichthidae,Anguilliformes,Teleostei
Ophichthus triserialis,Ophichthus,0.011,2.417,1,TL,9.2,72.2,Ophichthidae,Anguilliformes,Teleostei
Ophichthus zophochir,Ophichthus,0.00081,3.0742,2,TL,32.4,86.2,Ophichthidae,Anguilliformes,Teleostei
Dysomma anguillare,Dysomma,0.00024,3.407,1,TL,24.6,60,Synaphobranchidae,Anguilliformes,Teleostei
Nemichthys scolopaceus,Nemichthys,0.000905,3,2,SL,11.2,11.2,Nemichthyidae,Anguilliformes,Teleostei
Notacanthus chemnitzii,Notacanthus,0.00382,3.0572,2,TL,36,85,Notacanthidae,Notacanthiformes,Teleostei
Hiodon alosoides,Hiodon,0.010845,3.0345,4,TL,,,Hiodontidae,Hiodontiformes,Teleostei
Hiodon tergisus,Hiodon,0.00288,3.4175,2,TL,7.6,15.2,Hiodontidae,Hiodontiformes,Teleostei
Coregonus autumnalis,Coregonus,0.00323,3.3299,13,FL,4.9,48,Salmonidae,Salmoniformes,Teleostei
Coregonus hoyi,Coregonus,0.018595,3.0095,2,SL,,,Salmonidae,Salmoniformes,Teleostei
Typhlichthys subterraneus,Typhlichthys,0.00903,2.989,1,TL,,,Amblyopsidae,Percopsiformes,Teleostei
Coregonus kiyi,Coregonus,0.00943,3.122,2,SL,,,Salmonidae,Salmoniformes,Teleostei
Coregonus nasus,Coregonus,0.00543,3.269,11,FL,14,71,Salmonidae,Salmoniformes,Teleostei
Coregonus pidschian,Coregonus,0.0048,3.2903,1,TL,24,47.5,Salmonidae,Salmoniformes,Teleostei
Coregonus sardinella,Coregonus,0.00415,3.227,13,FL,5.3,40.1,Salmonidae,Salmoniformes,Teleostei
Prosopium coulterii,Prosopium,0.00378,3.204,1,TL,5.5,15,Salmonidae,Salmoniformes,Teleostei
Prosopium cylindraceum,Prosopium,0.00885,3.294,3,TL,11.7,52.1,Salmonidae,Salmoniformes,Teleostei
Prosopium williamsoni,Prosopium,0.00511,3.125,5,SL,5.8,41.3,Salmonidae,Salmoniformes,Teleostei
Oncorhynchus aguabonita,Oncorhynchus,0.0169,3,1,FL,,,Salmonidae,Salmoniformes,Teleostei
Oncorhynchus apache,Oncorhynchus,0.0121,3,1,TL,58,58,Salmonidae,Salmoniformes,Teleostei
Oncorhynchus clarkii,Oncorhynchus,0.0093,2.9765,12,FL,,,Salmonidae,Salmoniformes,Teleostei
Oncorhynchus gilae,Oncorhynchus,0.009475,3.042,26,TL,,,Salmonidae,Salmoniformes,Teleostei
Salvelinus confluentus,Salvelinus,0.01367,3,1,TL,102,102,Salmonidae,Salmoniformes,Teleostei
Salvelinus malma,Salvelinus,0.00437,3.12,5,FL,12.5,91,Salmonidae,Salmoniformes,Teleostei
Stenodus leucichthys,Stenodus,0.0052,3.147,7,FL,38.7,129,Salmonidae,Salmoniformes,Teleostei
Thymallus arcticus,Thymallus,0.0102,3.04445,6,TL,3.5,75,Salmonidae,Salmoniformes,Teleostei
Allosmerus elongatus,Allosmerus,0.0043,3,2,SL,9.2,,Osmeridae,Osmeriformes,Teleostei
Hypomesus nipponensis,Hypomesus,0.0089,2.8731,1,FL,5.3,10.9,Osmeridae,Osmeriformes,Teleostei
Argentina sialis,Argentina,0.00655,3.153,2,TL,8.3,18,Argentinidae,Argentiniformes,Teleostei
Argentina silus,Argentina,0.0032,3.2518,4,TL,6.5,46.5,Argentinidae,Argentiniformes,Teleostei
Argentina striata,Argentina,0.028935,2.5515,2,TL,4.8,22.1,Argentinidae,Argentiniformes,Teleostei
Leuroglossus stilbius,Leuroglossus,0.012175,2.77,2,SL,2.8,8.5,Bathylagidae,Argentiniformes,Teleostei
Dallia pectoralis,Dallia,0.00568,3.354,2,TL,,,Umbridae,Esociformes,Teleostei
Umbra limi,Umbra,0.00735,3.178,2,TL,3.9,10.6,Umbridae,Esociformes,Teleostei
Umbra pygmaea,Umbra,0.0059,3.3705,2,NG,3.4,13.7,Umbridae,Esociformes,Teleostei
Esox americanus,Esox,0.00785,3.055,4,TL,6.5,42,Esocidae,Esociformes,Teleostei
Esox masquinongy,Esox,0.003405,3.2315,10,FL,,,Esocidae,Esociformes,Teleostei
Esox niger,Esox,0.00411,3.114,2,FL,22.9,56.6,Esocidae,Esociformes,Teleostei
Tactostoma macropus,Tactostoma,0.00065,3.08,1,SL,5,22,Stomiidae,Stomiiformes,Teleostei
Chauliodus macouni,Chauliodus,0.00265,3,4,TL,9.9,29.3,Stomiidae,Stomiiformes,Teleostei
Saurida brasiliensis,Saurida,0.00715,3.04,5,TL,3.1,14,Synodontidae,Aulopiformes,Teleostei
Saurida caribbaea,Saurida,0.005725,2.9355,2,TL,5.4,12.7,Synodontidae,Aulopiformes,Teleostei
Saurida normani,Saurida,0.02895,2.815,2,SL,7.3,26,Synodontidae,Aulopiformes,Teleostei
Synodus foetens,Synodus,0.004275,3.139,14,TL,2,53.8,Synodontidae,Aulopiformes,Teleostei
Synodus intermedius,Synodus,0.006245,3.2245,2,FL,6.2,38.6,Synodontidae,Aulopiformes,Teleostei
Synodus lucioceps,Synodus,0.007,3.0025,2,TL,4.5,46,Synodontidae,Aulopiformes,Teleostei
Synodus poeyi,Synodus,0.0104,3,3,TL,6,21.8,Synodontidae,Aulopiformes,Teleostei
Synodus synodus,Synodus,0.0052,3.2535,2,TL,16.7,43,Synodontidae,Aulopiformes,Teleostei
Trachinocephalus myops,Trachinocephalus,0.00724,3.26,5,TL,14.4,32.6,Synodontidae,Aulopiformes,Teleostei
Parasudis truculenta,Parasudis,0.00288,3.239,1,TL,19.1,25,Chlorophthalmidae,Aulopiformes,Teleostei
Anotopterus pharao,Anotopterus,0.00035,3,2,SL,27.6,,Anotopteridae,Aulopiformes,Teleostei
Benthalbella dentata,Benthalbella,0.00213,3.31,2,TL,12.5,26.2,Scopelarchidae,Aulopiformes,Teleostei
Ceratoscopelus townsendi,Ceratoscopelus,0.00845,3,2,SL,6.4,,Myctophidae,Myctophiformes,Teleostei
Diaphus theta,Diaphus,0.0098,3,2,SL,5.6,,Myctophidae,Myctophiformes,Teleostei
Diogenichthys laternatus,Diogenichthys,0.00613,3.52,1,SL,2.1,2.9,Myctophidae,Myctophiformes,Teleostei
Lampanyctus regalis,Lampanyctus,0.00487,3.23,3,TL,11.2,21,Myctophidae,Myctophiformes,Teleostei
Notoscopelus resplendens,Notoscopelus,0.0113,3.045,1,SL,1.6,9.3,Myctophidae,Myctophiformes,Teleostei
Stenobrachius leucopsarus,Stenobrachius,0.00608,3.155,2,SL,8.5,8.6,Myctophidae,Myctophiformes,Teleostei
Tarletonbeania crenularis,Tarletonbeania,0.0086,3,2,SL,5.2,,Myctophidae,Myctophiformes,Teleostei
Triphoturus mexicanus,Triphoturus,0.00722,3.135,2,SL,2,7.9,Myctophidae,Myctophiformes,Teleostei
Astyanax mexicanus,Astyanax,0.01355,2.9565,2,TL,2.2,9.9,Acestrorhamphidae,Characiformes,Teleostei
Campostoma anomalum,Campostoma,0.00606,3.21,2,FL,3.2,14,Leuciscidae,Cypriniformes,Teleostei
Couesius plumbeus,Couesius,0.009915,2.996,2,FL,,,Leuciscidae,Cypriniformes,Teleostei
Ericymba buccata,Ericymba,0.00443,3.15,2,FL,3.2,8.5,Leuciscidae,Cypriniformes,Teleostei
Siphateles bicolor,Siphateles,0.0224,2.903,1,FL,,,Leuciscidae,Cypriniformes,Teleostei
Lepidomeda copei,Lepidomeda,0.0127,3,2,SL,,9.7,Leuciscidae,Cypriniformes,Teleostei
Hybognathus placitus,Hybognathus,0.01485,3,4,SL,,8.6,Leuciscidae,Cypriniformes,Teleostei
Hybognathus regius,Hybognathus,0.0116,3,4,SL,,9.4,Leuciscidae,Cypriniformes,Teleostei
Macrhybopsis aestivalis,Macrhybopsis,0.0144,2.77,1,TL,7.6,12.7,Leuciscidae,Cypriniformes,Teleostei
Macrhybopsis storeriana,Macrhybopsis,0.01135,3.093,2,SL,4.3,12.6,Leuciscidae,Cypriniformes,Teleostei
Leuciscus idus,Leuciscus,0.005,3.306,17,TL,3,76,Leuciscidae,Cypriniformes,Teleostei
Nocomis micropogon,Nocomis,0.0094,3.06,1,TL,3.2,25.3,Leuciscidae,Cypriniformes,Teleostei
Lythrurus ardens,Lythrurus,0.00141,3.04,1,FL,4.9,6.7,Leuciscidae,Cypriniformes,Teleostei
Notropis atherinoides,Notropis,0.00975,2.812,2,TL,2,10.2,Leuciscidae,Cypriniformes,Teleostei
Luxilus chrysocephalus,Luxilus,0.00326,3.25,2,FL,3.2,16,Leuciscidae,Cypriniformes,Teleostei
Luxilus cornutus,Luxilus,0.00537,3.29,1,TL,7.5,15,Leuciscidae,Cypriniformes,Teleostei
Notropis hudsonius,Notropis,0.00815,3.038,2,TL,2,10.3,Leuciscidae,Cypriniformes,Teleostei
Cyprinella lutrensis,Cyprinella,0.0085,3.122,2,TL,4.1,9.3,Leuciscidae,Cypriniformes,Teleostei
Notropis photogenis,Notropis,0.0091,2.92,1,TL,3.2,12.4,Leuciscidae,Cypriniformes,Teleostei
Lythrurus roseipinnis,Lythrurus,0.00251,3.42,1,TL,2.5,7.6,Leuciscidae,Cypriniformes,Teleostei
Notropis rubellus,Notropis,0.0086,2.886,2,TL,2.3,11,Leuciscidae,Cypriniformes,Teleostei
Cyprinella spiloptera,Cyprinella,0.00605,3.195,2,TL,2.3,10.7,Leuciscidae,Cypriniformes,Teleostei
Miniellus stramineus,Miniellus,0.0087,2.9975,2,TL,2.9,7.5,Leuciscidae,Cypriniformes,Teleostei
Notropis texanus,Notropis,0.0075,3.08,1,TL,3.8,6.9,Leuciscidae,Cypriniformes,Teleostei
Cyprinella venusta,Cyprinella,0.0141,2.72,1,TL,5.1,15.2,Leuciscidae,Cypriniformes,Teleostei
Notropis volucellus,Notropis,0.0082,2.99,3,TL,2.2,7.5,Leuciscidae,Cypriniformes,Teleostei
Pimephales notatus,Pimephales,0.0044,3.28,3,TL,2.5,9.7,Leuciscidae,Cypriniformes,Teleostei
Pimephales vigilax,Pimephales,0.0069,3.187,1,TL,2.1,8.6,Leuciscidae,Cypriniformes,Teleostei
Ptychocheilus grandis,Ptychocheilus,0.0065,3,1,TL,66,69.9,Leuciscidae,Cypriniformes,Teleostei
Ptychocheilus oregonensis,Ptychocheilus,0.0102,2.986,1,FL,,,Leuciscidae,Cypriniformes,Teleostei
Rhinichthys atratulus,Rhinichthys,0.005255,3.101,2,TL,4.2,6.7,Leuciscidae,Cypriniformes,Teleostei
Rhinichthys cataractae,Rhinichthys,0.0079,3.13,1,TL,3.2,12.5,Leuciscidae,Cypriniformes,Teleostei
Rhinichthys osculus,Rhinichthys,0.0631,3.09,1,FL,2.3,8,Leuciscidae,Cypriniformes,Teleostei
Rhodeus sericeus,Rhodeus,0.01912,3.09,3,TL,2.4,9.8,Acheilognathidae,Cypriniformes,Teleostei
Scardinius erythrophthalmus,Scardinius,0.0078,3.188,15,TL,1.9,39,Leuciscidae,Cypriniformes,Teleostei
Semotilus atromaculatus,Semotilus,0.01805,2.96,6,TL,2.8,19.6,Leuciscidae,Cypriniformes,Teleostei
Semotilus corporalis,Semotilus,0.030435,2.849,2,FL,45,45,Leuciscidae,Cypriniformes,Teleostei
Carpiodes carpio,Carpiodes,0.0134,2.9685,10,TL,2.9,61,Catostomidae,Cypriniformes,Teleostei
Carpiodes velifer,Carpiodes,0.01349,2.997,3,TL,7.6,51.4,Catostomidae,Cypriniformes,Teleostei
Catostomus catostomus,Catostomus,0.0255,2.88,4,SL,,,Catostomidae,Cypriniformes,Teleostei
Catostomus commersonii,Catostomus,0.0135,2.94,13,TL,4.3,45.7,Catostomidae,Cypriniformes,Teleostei
Catostomus latipinnis,Catostomus,0.00832,3,1,TL,48,48,Catostomidae,Cypriniformes,Teleostei
Catostomus platyrhynchus,Catostomus,0.0117,2.972,1,TL,,,Catostomidae,Cypriniformes,Teleostei
Chasmistes cujus,Chasmistes,0.01001,3,1,TL,64.8,64.8,Catostomidae,Cypriniformes,Teleostei
Cycleptus elongatus,Cycleptus,0.003085,3.2705,2,TL,19.5,78.6,Catostomidae,Cypriniformes,Teleostei
Erimyzon oblongus,Erimyzon,0.0156,3.202,3,SL,6.5,16.8,Catostomidae,Cypriniformes,Teleostei
Hypentelium nigricans,Hypentelium,0.0105,2.98,3,TL,3.2,38.7,Catostomidae,Cypriniformes,Teleostei
Ictiobus bubalus,Ictiobus,0.02345,2.9845,8,TL,7.6,78.2,Catostomidae,Cypriniformes,Teleostei
Ictiobus cyprinellus,Ictiobus,0.0154,3.139,6,TL,5.1,78.7,Catostomidae,Cypriniformes,Teleostei
Ictiobus niger,Ictiobus,0.013495,3.053,2,TL,18.1,114,Catostomidae,Cypriniformes,Teleostei
Minytrema melanops,Minytrema,0.009365,3.1695,4,TL,5.1,45,Catostomidae,Cypriniformes,Teleostei
Moxostoma anisurum,Moxostoma,0.01089,3.0765,4,TL,7.3,74,Catostomidae,Cypriniformes,Teleostei
Moxostoma carinatum,Moxostoma,0.0132,2.949,3,TL,22,71.4,Catostomidae,Cypriniformes,Teleostei
Moxostoma duquesnei,Moxostoma,0.01975,2.945,6,TL,6,43.4,Catostomidae,Cypriniformes,Teleostei
Moxostoma erythrurum,Moxostoma,0.0124,3.082,5,TL,5,52.5,Catostomidae,Cypriniformes,Teleostei
Moxostoma macrolepidotum,Moxostoma,0.0118,3.021,3,TL,5.7,65.5,Catostomidae,Cypriniformes,Teleostei
Moxostoma poecilurum,Moxostoma,0.0117,2.97,1,TL,10.2,50.8,Catostomidae,Cypriniformes,Teleostei
Moxostoma valenciennesi,Moxostoma,0.01323,3,1,TL,68,68,Catostomidae,Cypriniformes,Teleostei
Misgurnus anguillicaudatus,Misgurnus,0.00422,3.07,15,TL,4.7,21.9,Cobitidae,Cypriniformes,Teleostei
Ameiurus catus,Ameiurus,0.013025,3.008,2,FL,2.5,48.3,Ictaluridae,Siluriformes,Teleostei
Ictalurus furcatus,Ictalurus,0.00199,3.41,3,TL,12.3,139,Ictaluridae,Siluriformes,Teleostei
Ameiurus natalis,Ameiurus,0.0207,2.93,5,TL,2.5,35.6,Ictaluridae,Siluriformes,Teleostei
Ameiurus nebulosus,Ameiurus,0.0099,3.073,5,TL,4,48.3,Ictaluridae,Siluriformes,Teleostei
Ameiurus platycephalus,Ameiurus,0.00719,3.197,1,TL,5.1,22.9,Ictaluridae,Siluriformes,Teleostei
Noturus flavus,Noturus,0.02125,2.8155,2,SL,3.8,18.7,Ictaluridae,Siluriformes,Teleostei
Noturus gyrinus,Noturus,0.024,2.87,1,SL,1.8,6.2,Ictaluridae,Siluriformes,Teleostei
Polymixia lowei,Polymixia,0.011155,3.0365,4,TL,7.3,46.3,Polymixiidae,Polymixiiformes,Teleostei
Pylodictis olivaris,Pylodictis,0.00526,3.2065,8,TL,5.1,99.1,Ictaluridae,Siluriformes,Teleostei
Clarias batrachus,Clarias,0.0223,2.6885,6,TL,7,34,Clariidae,Siluriformes,Teleostei
Bagre panamensis,Bagre,0.0029,3.3024,3,TL,6.5,47,Ariidae,Siluriformes,Teleostei
Hypostomus plecostomus,Hypostomus,0.0423,2.888,5,SL,5.9,35,Loricariidae,Siluriformes,Teleostei
Aphredoderus sayanus,Aphredoderus,0.02203,2.768,1,TL,,,Aphredoderidae,Percopsiformes,Teleostei
Percopsis omiscomaycus,Percopsis,0.0112,3.08,1,SL,,,Percopsidae,Percopsiformes,Teleostei
