id,species,clade,femur,tibio,humerus,radius,mass
685,Anoplosaurus_curtonotus,Ornithischia,NA,NA,NA,NA,NA
686,Antarctopelta_oliveroi,Ornithischia,NA,NA,NA,NA,NA
687,Aralosaurus_tuberiferus,Ornithischia,NA,NA,300,NA,NA
688,Archaeoceratops_oshimai,Ornithischia,NA,NA,NA,NA,NA
689,Archaeoceratops_yujingziensis,Ornithischia,102,NA,NA,NA,5.0E+00
690,Arenysaurus_ardevoli,Ornithischia,711,NA,300,NA,NA
691,Arrhinoceratops_brachyops,Ornithischia,NA,NA,NA,NA,NA
692,Asiaceratops_salsopaludalis,Ornithischia,NA,87.8,NA,NA,NA
693,Auroraceratops_rugosus,Ornithischia,NA,NA,NA,NA,NA
694,Bactrosaurus_johnsoni,Ornithischia,796,655,NA,NA,1.8E+03
695,Bagaceratops_rozhdestvenskyi,Ornithischia,103,120,79.5,61,NA
696,Barilium_dawsoni,Ornithischia,905,NA,NA,NA,4.3E+03
697,Barsboldia_sicinskii,Ornithischia,NA,NA,NA,NA,NA
698,Batyrosaurus_rozhdestvenskyi,Ornithischia,NA,NA,NA,NA,NA
699,Bissektipelta_archibaldi,Ornithischia,NA,NA,NA,NA,NA
700,Blasisaurus_canudoi,Ornithischia,NA,NA,NA,NA,NA
701,Bolong_yixianensis,Ornithischia,NA,510,NA,198,NA
702,Brachylophosaurus_canadensis,Ornithischia,NA,NA,NA,NA,4.5E+03
703,Callovosaurus_leedsi,Ornithischia,300,NA,NA,NA,6.6E+01
704,Camptosaurus_dispar,Ornithischia,630,520,370,222,1.0E+03
705,Cedarpelta_bilbeyhallorum,Ornithischia,NA,NA,NA,NA,NA
706,Cedrorestes_crichtoni,Ornithischia,NA,639,NA,NA,NA
707,Centrosaurus_apertus,Ornithischia,795,520,563,NA,2.5E+03
708,Centrosaurus_brinkmani,Ornithischia,NA,NA,NA,NA,NA
709,Cerasinops_hodgskissi_,Ornithischia,352,344.6,260.3,175,1.2E+02
710,Changchunsaurus_parvus,Ornithischia,NA,NA,NA,NA,NA
711,Chaoyangsaurus_youngi,Ornithischia,NA,NA,NA,NA,NA
712,Charonosaurus_jiayinensis,Ornithischia,1350,NA,NA,NA,NA
713,Chasmosaurus_belli,Ornithischia,825,565,580,338.5,3.1E+03
714,Chasmosaurus_russelli,Ornithischia,716,498,553,312,3.5E+03
715,Chungkingosaurus_jiangbeiensis,Ornithischia,670,487,440,NA,3.0E+03
716,Claosaurus_agilis,Ornithischia,697,572,360.5,271,NA
717,Coahuilaceratops_magnacuerna,Ornithischia,NA,NA,NA,NA,NA
718,Colepiocephale_lambei,Ornithischia,NA,NA,NA,NA,NA
719,Corythosaurus_casuarius,Ornithischia,1080,1000,585,NA,NA
720,Corythosaurus_intermedius,Ornithischia,1058.8,940,536.3,635,3.5E+03
721,Craspedodon_lonzeensis,Ornithischia,NA,NA,NA,NA,NA
722,Crichtonsaurus_benxiensis,Ornithischia,320,290,230,145,NA
723,Crichtonsaurus_bohlini,Ornithischia,343,NA,240,NA,NA
724,Cumnoria_prestwichii,Ornithischia,NA,NA,297,NA,NA
725,Dacentrurus_armatus,Ornithischia,1232,NA,760,575,7.4E+03
726,Dakotadon_lakotaensis,Ornithischia,NA,NA,NA,NA,NA
727,Delapparentia_turolensis,Ornithischia,NA,NA,NA,NA,NA
728,Diabloceratops_eatoni,Ornithischia,NA,NA,NA,NA,NA
729,Draconyx_loureiroi,Ornithischia,NA,NA,NA,NA,4.9E+02
730,Dracopelta_zbyszewskii,Ornithischia,NA,NA,NA,NA,NA
731,Drinker_nisti,Ornithischia,NA,NA,NA,NA,NA
732,Dryosaurus_altus,Ornithischia,350,393,191,146.2,1.6E+02
733,Dyoplosaurus_acutesquamous,Ornithischia,562,NA,NA,240,NA
734,Dysalotosaurus_lettowvorbecki,Ornithischia,343,NA,NA,NA,1.4E+02
735,Echinodon_becklesii,Ornithischia,NA,NA,NA,NA,NA
736,Edmontonia_longiceps,Ornithischia,663,558,478,297.9,2.3E+03
737,Edmontonia_rugosidens,Ornithischia,NA,NA,420,NA,NA
738,Edmontosaurus_annectens,Ornithischia,1147.7,968,680.5,621.5,6.6E+03
739,Edmontosaurus_regalis,Ornithischia,1242.5,1174,697.5,673,7.6E+03
740,Einiosaurus_procurvicornis,Ornithischia,644,NA,NA,NA,NA
741,Elrhazosaurus_nigeriensis,Ornithischia,224,NA,NA,NA,4.8E+01
742,Emausaurus_ernsti,Ornithischia,NA,NA,NA,NA,NA
743,Eocursor_parvus,Ornithischia,109,137,67,42,3.5E+00
744,Eolambia_caroljonesa,Ornithischia,NA,NA,NA,NA,NA
745,Eotriceratops_xerinsularis,Ornithischia,NA,NA,NA,NA,NA
746,Equijubus_normani,Ornithischia,NA,NA,NA,NA,NA
747,Euoplocephalus_tutus,Ornithischia,547.5,411.5,415,271,2.3E+03
748,Ferganocephale_adenticulatum,Ornithischia,NA,NA,NA,NA,NA
749,Fruitadens_haagarorum,Ornithischia,42.2,71.8,36.7,NA,7.3E-01
750,Fukuisaurus_tetoriensis,Ornithischia,NA,NA,NA,NA,NA
751,Gargoyleosaurus_parkpinorum,Ornithischia,465,NA,292,NA,8.9E+02
752,Gasparinisaura_cincosaltensis,Ornithischia,NA,NA,NA,NA,1.2E+01
753,Gastonia_burgei,Ornithischia,590,300,320,NA,1.4E+03
754,Gideonmantellia_amosanjuanae,Ornithischia,112.9,132,NA,NA,5.0E+00
755,Gigantspinosaurus_sichuanensis,Ornithischia,673,460,435,NA,2.2E+03
756,Gilmoreosaurus_mongolensis,Ornithischia,695,615,315,309,1.3E+03
757,Glyptodontopelta_mimus,Ornithischia,NA,NA,NA,NA,NA
758,Gobisaurus_domoculus,Ornithischia,NA,NA,NA,NA,NA
759,Gongbusaurus_wucaiwanensis,Ornithischia,NA,195.8,75,NA,NA
760,Goyocephale_lattimorei,Ornithischia,NA,NA,92,NA,NA
761,Graciliceratops_mongoliensis,Ornithischia,96,110,84.7,60,NA
762,Gravitholus_albertae,Ornithischia,NA,NA,NA,NA,NA
763,Gryphoceratops_morrisoni,Ornithischia,NA,NA,NA,NA,NA
764,Gryposaurus_latidens,Ornithischia,1120,1074,758,NA,4.2E+03
764.5,Gryposaurus_monumentensis,Ornithischia,NA,NA,NA,NA,NA
765,Gryposaurus_notabilis,Ornithischia,1135,1012,506,NA,4.3E+03
766,Hanssuesia_sternbergi,Ornithischia,NA,NA,NA,NA,NA
767,Haya_griva,Ornithischia,131,155,86,66,1.1E+01
768,Helioceratops_brachygnathus,Ornithischia,NA,NA,NA,NA,NA
769,Heterodontosaurus_tucki,Ornithischia,111.5,143,83.5,58,NA
770,Hexinlusaurus_multidens,Ornithischia,NA,243.8,158.3,NA,NA
770.5,Hexinlusaurus_multidens,Ornithischia,153.4,185.6,101.3,65.7,9.4E+00
771,Hippodraco_scutodens,Ornithischia,NA,NA,323,NA,NA
772,Homalocephale_calathocercos,Ornithischia,212,NA,NA,NA,3.9E+01
773,Hongshanosaurus_houi,Ornithischia,NA,NA,NA,NA,NA
774,Hoplitosaurus_marshi,Ornithischia,480,NA,NA,NA,NA
775,Huayangosaurus_taibaii,Ornithischia,575,520,519,290,NA
776,Huehuecanauhtlus_tiquichensis,Ornithischia,NA,NA,NA,NA,NA
777,Hungarosaurus_tormai,Ornithischia,490,NA,455,430,6.9E+02
778,Hylaeosaurus_armatus,Ornithischia,NA,406,440,NA,NA
779,Hypacrosaurus_altispinus,Ornithischia,1074,995,510,NA,3.7E+03
780,Hypacrosaurus_stebingeri,Ornithischia,1190,NA,NA,NA,NA
781,Hypselospinus_fittoni,Ornithischia,833,NA,NA,NA,3.0E+03
782,Hypsilophodon_foxi,Ornithischia,173,NA,147,NA,2.4E+01
783,Iguanacolossus_fortis,Ornithischia,NA,NA,NA,NA,NA
784,Iguanodon_bernissartensis,Ornithischia,1038.8,852.5,818,495,8.3E+03
785,Iguanodon_seeleyi,Ornithischia,NA,NA,NA,NA,1.5E+04
786,Jaxartosaurus_aralensis,Ornithischia,NA,NA,NA,NA,NA
787,Jeholosaurus_shangyuanensis,Ornithischia,135.5,160,NA,NA,9.7E+00
788,Jeyawati_rugoculus,Ornithischia,NA,NA,NA,NA,NA
789,Jiangjunosaurus_junggarensis,Ornithischia,NA,NA,NA,NA,NA
790,Jinzhousaurus_yangi,Ornithischia,625,NA,420,265,NA
791,Kangnasaurus_coetzeei,Ornithischia,383,NA,NA,NA,2.4E+02
792,Kentrosaurus_aethiopicus,Ornithischia,645,NA,353,NA,1.6E+03
793,Kerberosaurus_manakini,Ornithischia,NA,NA,NA,NA,NA
794,Koreaceratops_hwaseongensis,Ornithischia,NA,NA,NA,NA,NA
795,Koreanosaurus_boseongensis,Ornithischia,NA,NA,215,NA,NA
796,Kosmoceratops_richardsoni,Ornithischia,NA,NA,NA,NA,NA
797,Kritosaurus_navajovius,Ornithischia,1045,943,NA,NA,NA
798,Kundurosaurus_nagornyi,Ornithischia,NA,NA,NA,607,NA
799,Lambeosaurus_clavintialis,Ornithischia,1050,1045,520,616,NA
800,Lambeosaurus_lambei,Ornithischia,1052.5,900,522.5,305,3.3E+03
801,Lambeosaurus_magnicristatus,Ornithischia,1000,1010,482,NA,NA
802,Lanzhousaurus_magnidens,Ornithischia,NA,NA,NA,NA,NA
803,Leptoceratops_gracilis,Ornithischia,NA,NA,295,NA,4.2E+02
804,Lesothosaurus_diagnosticus,Ornithischia,102,129,65,37,6.3E+00
805,Levnesovia_transoxiana,Ornithischia,NA,NA,NA,NA,NA
806,Liaoceratops_yanzigouensis,Ornithischia,NA,NA,NA,NA,NA
807,Lophorhothon_atopus,Ornithischia,616,574,NA,NA,NA
808,Loricatosaurus_priscus,Ornithischia,900,NA,535,NA,2.8E+03
809,Lurdusaurus_arenatus,Ornithischia,910,777,632,340,4.2E+03
810,Lycorhinus_angustidens,Ornithischia,NA,NA,NA,NA,NA
811,Macrogryphosaurus_gondwanicus,Ornithischia,NA,NA,NA,NA,NA
812,Magnapaulia_laticaudus,Ornithischia,1280,NA,803,NA,NA
813,Magnirostris_dodsoni,Ornithischia,NA,NA,NA,NA,NA
814,Maiasaura_peeblesorum,Ornithischia,1020,NA,580,565,3.7E+03
815,Manidens_condorensis,Ornithischia,NA,NA,NA,NA,NA
816,Mantellisaurus_atherfieldensis,Ornithischia,735,677.5,435,335,1.4E+03
817,Medusaceratops_lokii,Ornithischia,NA,NA,NA,NA,NA
818,Micropachycephalosaurus_hongtuyanensis,Ornithischia,119,NA,NA,NA,5.9E+00
819,Minmi_paravertebra,Ornithischia,NA,NA,270,NA,NA
820,Minotaurasaurus_ramachandrani,Ornithischia,NA,NA,NA,NA,NA
821,Miragaia_longicollum,Ornithischia,NA,NA,715,459,NA
821.3,Mochlodon_suessi,Ornithischia,194,NA,NA,NA,NA
821.5,Mochlodon_vorosi,Ornithischia,218,NA,156,NA,3.1E+01
822,Monoclonius_lowei,Ornithischia,NA,NA,NA,NA,NA
823,Montanoceratops_cerorynchus,Ornithischia,346,335.5,263,NA,1.9E+02
824,Muttaburrasaurus_langdoni,Ornithischia,990,NA,NA,NA,4.3E+03
825,Mymoorapelta_maysi,Ornithischia,NA,NA,NA,NA,NA
826,Naashoibitosaurus_ostromi,Ornithischia,NA,NA,NA,NA,NA
827,Nanningosaurus_dashiensis,Ornithischia,976,915,NA,NA,NA
828,Nanyangosaurus_zhugeii,Ornithischia,517,548,265,NA,NA
829,Nedoceratops_hatcheri,Ornithischia,NA,NA,NA,NA,NA
830,Niobrarasaurus_coleii,Ornithischia,490,365,380,270,1.2E+03
831,Nodocephalosaurus_kirtlandensis,Ornithischia,NA,NA,NA,NA,NA
832,Nodosaurus_textilis,Ornithischia,609,455,NA,NA,NA
833,Notoceratops_bonarellii,Ornithischia,NA,NA,NA,NA,NA
834,Notohypsilophodon_comodorensis,Ornithischia,NA,218,120,NA,NA
835,Ojoceratops_fowleri,Ornithischia,NA,NA,NA,NA,NA
836,Olorotitan_arharensis,Ornithischia,1090,1120,595,NA,4.1E+03
837,Orodromeus_makelai,Ornithischia,166.1,202.9,105.1,NA,2.0E+01
838,Oryctodromeus_cubicularis,Ornithischia,NA,254,157,NA,NA
839,Osmakasaurus_depressus,Ornithischia,NA,NA,NA,NA,NA
840,Othnielosaurus_consors,Ornithischia,163,NA,NA,NA,1.7E+01
841,Ouranosaurus_nigeriensis,Ornithischia,830.7,767.3,555,NA,1.5E+03
842,Pachycephalosaurus_wyomingensis,Ornithischia,441,NA,NA,NA,3.7E+02
843,Pachyrhinosaurus_canadensis,Ornithischia,902.5,665,665,375,4.4E+03
844,Pachyrhinosaurus_lakustai,Ornithischia,790,550,555,NA,NA
845,Pachyrhinosaurus_perotorum,Ornithischia,NA,NA,NA,NA,NA
846,Panoplosaurus_mirus,Ornithischia,NA,378,439,NA,NA
847,Paranthodon_africanus,Ornithischia,NA,NA,NA,NA,NA
848,Pararhabdodon_isonensis,Ornithischia,NA,NA,404,NA,NA
849,Parasaurolophus_cyrtoctristatus,Ornithischia,1072.5,975,555,585,4.9E+03
850,Parasaurolophus_walkeri,Ornithischia,1045,NA,520,494.5,5.1E+03
851,Parksosaurus_warreni,Ornithischia,270,312.5,218,127,7.0E+01
852,Pawpawsaurus_campbelli,Ornithischia,NA,NA,NA,NA,NA
852.5,Pegomastax_africanus,Ornithischia,NA,NA,NA,NA,NA
853,Peloroplites_cedrimontanus,Ornithischia,NA,NA,NA,NA,NA
854,Penelopognathus_weishampeli,Ornithischia,NA,NA,NA,NA,NA
855,Pentaceratops_sternbergii,Ornithischia,1020,799,859,534,1.1E+04
856,Pinacosaurus_grangeri,Ornithischia,NA,NA,NA,NA,NA
857,Pinacosaurus_mephistocephalus,Ornithischia,215,NA,200,98,NA
858,Pisanosaurus_mertii,Ornithischia,170.3,159.4,NA,NA,3.1E+01
859,Planicoxa_venenica,Ornithischia,487,NA,NA,NA,2.6E+02
860,Polacanthus_foxii,Ornithischia,548,330,NA,NA,NA
861,Prenocephale_brevis,Ornithischia,NA,NA,NA,NA,NA
862,Prenocephale_prenes,Ornithischia,222,NA,NA,NA,6.3E+01
863,Prenoceratops_pieganensis,Ornithischia,NA,NA,NA,NA,NA
864,Priodontognathus_phillipsii ,Ornithischia,NA,NA,NA,NA,NA
864.5,Probactrosaurus_mazongshanensis,Ornithischia,NA,NA,NA,NA,NA
865,Probactrosaurus_gobiensis,Ornithischia,750,NA,NA,NA,NA
866,Prosaurolophus_maximus,Ornithischia,1000,825.5,540,478.5,3.1E+03
867,Protoceratops_andrewsi,Ornithischia,215,273,220,135,8.3E+01
868,Protohadros_byrdi,Ornithischia,NA,NA,NA,NA,NA
869,Psittacosaurus_gobiensis,Ornithischia,125,129,92,NA,9.4E+00
870,Psittacosaurus_mongoliensis,Ornithischia,154,156,121,NA,NA
871,Psittacosaurus_neimongoliensis,Ornithischia,129.5,141.5,105,NA,8.4E+00
872,Psittacosaurus_sinensis,Ornithischia,96,NA,NA,NA,4.1E+00
873,Psittacosaurus_sp.,Ornithischia,178.7,201.4,NA,NA,2.9E+01
874,Qantassaurus_intrepidus,Ornithischia,NA,NA,NA,NA,NA
875,Ratchasimasaurus_suranareae,Ornithischia,NA,NA,NA,NA,NA
876,Rhabdodon_priscum,Ornithischia,550,500,370,320,1.7E+03
877,Rubeosaurus_ovatus,Ornithischia,NA,NA,NA,NA,NA
878,Sahaliyania_elunchunorum,Ornithischia,NA,NA,408,NA,NA
879,Saichania_chulsanensis,Ornithischia,379.5,210,265,150,6.1E+02
880,Sarcolestes_leedsi,Ornithischia,NA,NA,NA,NA,NA
881,Saurolophus_angustirostris,Ornithischia,1200,1000,600,NA,NA
882,Saurolophus_osborni,Ornithischia,1150,1020,610,620,6.6E+03
883,Sauropelta_edwardsi,Ornithischia,754,380,527,395,3.0E+03
884,Scelidosaurus_harrisonii,Ornithischia,400,314,NA,NA,NA
885,Scutellosaurus_lawleri,Ornithischia,NA,147.7,NA,NA,NA
886,Secernosaurus_koerneri,Ornithischia,790,NA,NA,NA,NA
887,Sellacoxa_pauli,Ornithischia,NA,NA,NA,NA,NA
888,Shamosaurus_scutatus,Ornithischia,NA,NA,NA,NA,NA
889,Shantungosaurus_giganteus,Ornithischia,1700,NA,965,NA,1.7E+04
890,Shuangmiaosaurus_gilmorei,Ornithischia,NA,NA,NA,NA,NA
891,Siamodon_nimngami,Ornithischia,NA,NA,NA,NA,NA
892,Silvisaurus_condrayi,Ornithischia,400,NA,NA,NA,NA
893,Sinoceratops_zhuchengensis,Ornithischia,NA,NA,NA,NA,NA
894,Sphaerotholus_bucholtzae,Ornithischia,NA,NA,NA,NA,NA
895,Sphaerotholus_goodwini,Ornithischia,NA,NA,NA,NA,NA
896,Spinops_sternbergorum,Ornithischia,NA,NA,NA,NA,NA
897,Stegoceras_novomexicanum,Ornithischia,NA,NA,NA,NA,NA
898,Stegoceras_validum,Ornithischia,221,226,86,NA,1.6E+01
899,Stegopelta_landerensis,Ornithischia,NA,NA,NA,NA,NA
900,Stegosaurus_mjosi,Ornithischia,978,NA,NA,NA,4.7E+03
901,Stegosaurus_stenops,Ornithischia,1157,NA,NA,NA,NA
902,Stegosaurus_ungulatus,Ornithischia,1348,678,575,NA,7.0E+03
903,Stenopelix_valdensis,Ornithischia,144,134,NA,61,2.7E+01
904,Stormbergia_dangershoeki,Ornithischia,193,NA,98,NA,4.1E+01
905,Struthiosaurus_transilvanicus,Ornithischia,265,NA,NA,NA,NA
906,Styracosaurus_albertensis,Ornithischia,792,631,585.5,380,4.2E+03
907,Talarurus_plicatospineus,Ornithischia,470,298,335,164,NA
908,Talenkauen_santacrucensis,Ornithischia,455,456,339,292,NA
909,Tanius_sinensis,Ornithischia,1000,945,513,565,NA
910,Tarchia_gigantea,Ornithischia,NA,NA,NA,NA,NA
911,Tarchia_kielanae,Ornithischia,NA,NA,NA,NA,NA
912,Tatankacephalus_cooneyorum,Ornithischia,NA,NA,NA,NA,NA
913,Telmatosaurus_transsylvanicus,Ornithischia,731,NA,NA,NA,NA
914,Tenontosaurus_dossi,Ornithischia,557,565,466,341,8.0E+02
915,Tenontosaurus_tilletti,Ornithischia,575,535,441,330,6.2E+02
916,Tethyshadros_insularis,Ornithischia,420,550,292,277,NA
917,Texacephale_langstoni,Ornithischia,NA,NA,NA,NA,NA
918,Texasetes_pleurohalio,Ornithischia,NA,NA,NA,NA,NA
919,Theiophytalia_kerri,Ornithischia,NA,NA,NA,NA,NA
920,Thescelosaurus_assiniboiensis,Ornithischia,304.5,282,NA,NA,1.1E+02
921,Thescelosaurus_neglectus,Ornithischia,448,NA,315,NA,3.4E+02
922,Tianyulong_confuciusi,Ornithischia,51,82,33.5,NA,7.4E-01
923,Tianzhenosaurus_youngi,Ornithischia,402.6,NA,254.1,NA,NA
924,Torosaurus_latus,Ornithischia,NA,NA,767,NA,NA
925,Triceratops_horridus,Ornithischia,1033.5,618.5,780,397,1.4E+04
926,Triceratops_prorsus,Ornithischia,1104,736,752,NA,1.1E+04
927,Tsagantegia_longicranialis,Ornithischia,NA,NA,NA,NA,NA
928,Tsintaosaurus_spinorhinus,Ornithischia,1148,1120,685,NA,4.7E+03
929,Tuojiangosaurus_multispinus,Ornithischia,872,615,676,NA,4.8E+03
930,Turanoceratops_tardabilis,Ornithischia,NA,NA,NA,NA,NA
931,Tylocephale_gilmorei,Ornithischia,NA,NA,NA,NA,NA
932,Udanoceratops_tschizhovi,Ornithischia,NA,NA,361.5,232,NA
933,Unescoceratops_koppelhusae,Ornithischia,NA,NA,NA,NA,NA
934,Utahceratops_gettyi,Ornithischia,NA,NA,NA,NA,NA
935,Uteodon_aphanoecetes,Ornithischia,395,360,227,143,NA
936,Vagaceratops_irvinensis,Ornithischia,NA,NA,NA,NA,NA
937,Valdosaurus_canaliculatus,Ornithischia,224,NA,NA,NA,4.8E+01
938,Velafrons_coahuilensis,Ornithischia,NA,NA,NA,NA,NA
939,Wannanosaurus_yansiensis,Ornithischia,92.5,86,43,NA,3.0E+00
940,Willinakaqe_salitralensis,Ornithischia,1000,NA,550,NA,NA
941,Wulagasaurus_dongi,Ornithischia,NA,NA,522,NA,NA
942,Xiaosaurus_dashanpensis,Ornithischia,110,118,87,NA,5.2E+00
943,Xuanhuaceratops_niei,Ornithischia,NA,NA,40,NA,NA
944,Xuwulong_yueluni,Ornithischia,NA,NA,NA,NA,NA
945,Yamaceratops_dorngobiensis,Ornithischia,NA,NA,NA,NA,NA
946,Yandusaurus_hongheensis,Ornithischia,NA,NA,292.1,NA,NA
947,Yinlong_downsi,Ornithischia,152,155,91,NA,5.5E+00
948,Yueosaurus_tiantaiensis,Ornithischia,NA,NA,65,44,3.9E+00
949,Zalmoxes_robustus,Ornithischia,321,NA,210,NA,1.2E+02
950,Zalmoxes_shqiperorum,Ornithischia,309,NA,NA,NA,1.2E+02
951,Zephyrosaurus_schaffi,Ornithischia,NA,NA,NA,NA,NA
952,Zhejiangosaurus_lishuiensis,Ornithischia,525,240,NA,NA,NA
953,Zhongyuansaurus_luoyangensis,Ornithischia,NA,NA,NA,NA,NA
954,Zhuchengceratops_inexpectus,Ornithischia,NA,NA,NA,NA,NA
955,Zuniceratops_christopheri,Ornithischia,NA,NA,NA,NA,NA
956,Lagerpeton_chanarensis,Dinosauromorpha,NA,NA,NA,NA,NA
957,Dromomeron_gregorii,Dinosauromorpha,NA,NA,NA,NA,NA
958,Dromomeron_romeri,Dinosauromorpha,NA,NA,NA,NA,NA
959,Marasuchus_lilloensis,Dinosauromorpha,NA,NA,NA,NA,NA
960,Lewisuchus_admixtus,Dinosauromorpha,NA,NA,NA,NA,NA
961,Asilisaurus_kongwe,Dinosauromorpha,NA,NA,NA,NA,NA
962,Eucoelophysis_baldwini,Dinosauromorpha,NA,NA,NA,NA,NA
963,Silesaurus_opolensis,Dinosauromorpha,NA,NA,NA,NA,NA
964,Sacisaurus_agudoensis,Dinosauromorpha,NA,NA,NA,NA,NA
965,Diodorus_scytobrachion,Dinosauromorpha,NA,NA,NA,NA,NA
